valid_time,latitude,longitude,tp,u10,v10,t2m,slt,swvl1,swvl2,swvl3,swvl4,lai_hv,lai_lv,site_id
2014-06-01,51.80342,-0.372683,0.0015602112,0.057723045,-0.35890293,288.9834,4.0,0.340757,0.33898228,0.32151186,0.42922974,2.3898926,2.7867432,site_1
2014-07-01,51.80342,-0.372683,0.0018844604,0.7358942,-0.80306435,291.89844,4.0,0.33415616,0.29875624,0.29939777,0.41888428,2.2663574,2.3173828,site_1
2014-08-01,51.80342,-0.372683,0.003364563,2.4112606,1.1020947,288.90796,4.0,0.3799495,0.3587193,0.28956753,0.40933228,2.1921387,2.0488281,site_1
2014-09-01,51.80342,-0.372683,0.00059890747,-0.53674316,-0.8221073,288.6377,4.0,0.34294695,0.33848798,0.29862642,0.40307617,2.1564941,1.9645996,site_1
2014-10-01,51.80342,-0.372683,0.0025691986,1.6715918,2.4695826,286.11182,4.0,0.4086824,0.3884312,0.3260495,0.39866638,2.1420898,1.9381104,site_1
2014-11-01,51.80342,-0.372683,0.0031747818,-0.5868387,1.501298,281.93823,4.0,0.44929612,0.44446874,0.39001256,0.39711,2.171875,2.0766602,site_1
2014-12-01,51.80342,-0.372683,0.0013046265,3.5343542,0.42800808,278.5078,4.0,0.43857455,0.44262302,0.4369741,0.40296936,2.184204,2.1381836,site_1
2015-01-01,51.80342,-0.372683,0.0021209717,3.4957085,1.7024136,277.7998,4.0,0.44662434,0.45080465,0.4486521,0.41506958,2.173706,2.1306152,site_1
2015-02-01,51.80342,-0.372683,0.0016469955,1.3826447,-0.07130146,277.14502,4.0,0.43709415,0.4397146,0.44252837,0.42622375,2.0916748,1.9171143,site_1
2015-03-01,51.80342,-0.372683,0.0008945465,1.8257885,0.06200981,279.77344,4.0,0.40276688,0.40634346,0.43343467,0.4308777,2.131836,2.0184326,site_1
2015-04-01,51.80342,-0.372683,0.0010356903,0.39095116,-0.044449806,282.61914,4.0,0.34524184,0.34840727,0.38940734,0.42907715,2.253296,2.3707275,site_1
2015-05-01,51.80342,-0.372683,0.0020942688,2.236065,1.1364517,284.8484,4.0,0.3677827,0.33616894,0.34311354,0.42269897,2.3829346,2.7816162,site_1
